product_name,brand,ingredients,product_tags,energy_kj,energy_kcal,protein,fat_total,fat_saturated,carbs_total,carbs_sugar,fiber,salt,price_per_100g,price_per_100g_protein,protein_type
Buck Feed Protein Powder 25g of Whey Protein & 100mg Deer Antler Velvet Extract,Bucked Up,"Buck Feed Protein Complex, ['Whey Protein Isolate', 'Whey Protein Concentrate'], Natural Flavors, Himalayan Rock Salt, Sucralose, Deer Antler Velvet Powder, ['100 mg']","vegetarian, soy free, gluten free, WPC, WPI, whey",1406,336,70.0,0.0,0.0,5.6,0,,1,3.38,4.83,Animal-based
Pure Whey Protein™,Bulk,"Whey Protein Concentrate, ['Milk'], Sunflower Lecithin","halal, vegetarian, soy free, gluten free, WPC, whey",1619,387,77.0,7.0,2.5,4.0,4,0,0.38,3.8,4.94,Animal-based
Native Fuel Whey Protein Blend,Ascent Protein,"Whey Protein Isolate Blend, ['Native Whey Protein Isolate', 'Whey Protein Isolate'], Whey Protein Concentrate, Natural Flavors, Sunflower Lecithin, Monk Fruit Extract","vegetarian, soy free, gluten free, WPC, WPI, whey",1607,384,80.0,0.0,0.0,6.4,3.2,,0,4.02,5.02,Animal-based
Natural Whey Protein NSF Certified,True Athlete,"Whey protein concentrate, natural flavor, inulin, xanthan gum, soy lecithin, rebaudioside a, ['stevia extract'], Bacillus coagulans SNZ1969 190 million CFU's, lactase digestive enzyme, papain, bromelain","vegetarian, gluten free, WPC, whey",1335,319,58.0,0.0,0.0,8.7,5.8,,1,2.91,5.02,Animal-based
Native Fuel Whey Protein Blend,Ascent Protein,"Whey Protein Isolate Blend, ['Native Whey Protein Isolate', 'Whey Protein Isolate'], Whey Protein Concentrate, Natural Flavors, Sunflower Lecithin, Monk Fruit Extract","vegetarian, soy free, gluten free, WPC, WPI, whey",1607,384,80.0,0.0,0.0,6.4,3.2,,0,4.02,5.02,Animal-based
Synergy All-in-One Protein,PhD Nutrition,"PhD Protein Blend, [['Milk Protein Concentrate', ['Providing 80% Micellar Casein']], ['Whey Protein Concentrate', ['Milk']], ['Hydrolysed Wheat Protein', ['Providing Peptide Bonded L-Glutamine']]], Maltodextrin, Creatine Monohydrate, Flavourings, Stabiliser, ['Guar Gum', 'Xanthan Gum'], Magnesium Oxide, Zinc Oxide, Vitamin B6, Sweetener, ['Sucralose'], Emulsifier, ['Sunflower Lecithin']","vegetarian, soy free, WPC, whey",1632,386,61.0,5.5,0.9,23.0,2.2,0.1,0.6,3.1,5.08,Animal-based
GOLD STANDARD 100% WHEY Protein Naturally Flavored,Optimum Nutrition,"Protein Blend, ['Whey Protein Isolate', 'Whey Protein Concentrate', 'Whey Peptides'], Cane Sugar, Natural Flavor, Lecithin, Xanthan Gum, Stevia Leaf Extract, Lactase. CONTAINS: Milk, Soy","vegetarian, gluten free, WPC, WPI, whey",1686,403,74.4,1.55,0.0,15.5,9.3,,0,3.76,5.08,Animal-based
All In One Recovery,Bulk,"Chocolate FlavourWhey Protein Concentrate, ['Milk'], Maltodextrin, Glutamine Peptides, ['Wheat'], Creatine Monohydrate, L-Leucine, Cocoa Powder, Flavouring, Thickener, ['Xanthan Gum'], Sweetener, ['Sucralose'], Instantising Agent, ['Soya Lecithin'], .Chocolate & Cookies FlavourWhey Protein Concentrate, ['Milk'], Maltodextrin, Glutamine Peptides, ['Wheat'], Creatine Monohydrate, L-Leucine, Cocoa Powder, Flavouring, Thickener, ['Xanthan Gum'], Sweetener, ['Sucralose'], Instantising Agent, ['Soya Lecithin'], .Strawberry FlavourWhey Protein Concentrate, ['Milk'], Maltodextrin, Glutamine Peptides, ['Wheat'], Creatine Monohydrate, L-Leucine, Flavouring, Thickener, ['Xanthan Gum'], Instantising Agent, ['Soya Lecithin'], Colour, ['Beetroot Red'], Acid, ['Citric Acid'], Sweetener, ['Sucralose']","vegetarian, halal, WPC, whey",1705,402,58.0,3.8,2.5,34.0,4.3,0,0.5,3.0,5.17,Animal-based
Natural Pure Whey Protein™,Bulk,"Whey Protein Concentrate, ['Milk'], Natural Flavouring, Thickener, ['Xanthan Gum'], Sweetener, ['Steviol Gylcosides'], Emulsifier, ['Sunflower Lecithin']","vegetarian, halal, soy free, gluten free, WPC, whey",1603,379,72.0,4.0,2.0,12.0,4.5,3.4,0.86,3.8,5.28,Animal-based
Diet Vegan Protein,ProteinWorks,"Protein Blend [Soy Protein Isolate, Pea Protein Isolate, Pumpkin Seed Protein], Fructo-Oligosaccharides, Flaxseed Powder, Fat-Reduced Cocoa Powder, Coffee Powder, Psyllium Husk, Flavouring, Garcinia Cambogia, Acetyl-L-Carnitine, Green Tea Extract, Thickener, ['Xanthan Gum'], Sweetener, ['Sucralose']","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1449,346,72.0,2.3,0.4,7.7,0.2,7.7,2,3.8,5.28,Plant-based
Kasein Micellar Casein Isolate,Kaged Muscle,"Natural Flavors, Coconut Creamer, ['non-fat dry', 'coconut milk', 'non-GMO maltodextrin', 'coconut oil', 'gum acacia', 'sunflower lecithin', 'tricalcium phosphate'], Gum Blend, ['gum acacia', 'guar gum', 'xanthan gum'], Sea Salt, Stevia Extract, Sucralose","vegetarian, soy free, gluten free",1105,264,55.0,0.0,0.0,6.6,0,,0,2.99,5.44,Animal-based
Whey Protein 80 (Concentrate),ProteinWorks,"Whey Protein Concentrate, ['Milk'], Sunflower Lecithin","vegetarian, soy free, gluten free, WPC, whey",1695,405,83.0,6.2,4.4,7.4,7.4,,0.2,4.53,5.46,Animal-based
Organic Plant Protein Powder Vanilla,plnt,"Protein blend, ['organic pea protein', 'organic hemp protein', 'organic goji berry'], organic natural flavors, organic guar gum, organic medium chain triglycerides oil, sea salt, organic stevia leaf extract, ['steviol glycosides']","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1632,390,65.0,0.0,0.0,13.0,0,,2,3.58,5.51,Plant-based
